name,category,tags,specs
UltraGrip Yoga Mat,Fitness,"yoga mat, non-slip, eco-friendly, exercise, fitness","Material: natural rubber; Thickness: 6mm; Dimensions: 183x61cm; Weight: 1.5kg"
Wireless Noise-Cancelling Headphones,Electronics,"headphones, wireless, noise-cancelling, bluetooth, audio","Driver: 40mm; Battery: 30h; Bluetooth 5.2; ANC: -35dB; Weight: 250g"
Bamboo Cutting Board Set,Kitchen,"cutting board, bamboo, kitchen, eco-friendly, cooking","Sizes: S/M/L; Material: organic bamboo; Includes juice groove; Dishwasher safe: No"
Portable Espresso Maker,Kitchen,"espresso, portable, coffee, travel, barista","Pressure: 18 bar; Capacity: 50ml; Weight: 380g; Compatible: Nespresso pods"
LED Desk Lamp with USB Charging,Electronics,"desk lamp, LED, USB charging, dimmable, home office","Brightness: 3 levels; Color temp: 3000–6500K; USB-A port: 5W; Power: 12W"
Merino Wool Running Socks,Fitness,"socks, merino wool, running, cushioned, moisture-wicking","Material: 80% merino wool; Cushioning: medium; Sizes: S/M/L/XL; Anti-blister"
Cast Iron Skillet 12-inch,Kitchen,"cast iron, skillet, frying pan, oven safe, cooking","Diameter: 12in; Pre-seasoned: Yes; Oven safe: 500°F; Weight: 3.2kg"
Resistance Band Set (5 Levels),Fitness,"resistance bands, workout, fitness, home gym, strength training","Levels: 10/20/30/40/50 lb; Material: natural latex; Includes carry bag"
Smart LED Light Bulb,Electronics,"smart bulb, LED, wifi, dimmable, voice control","Wattage: 9W (60W equiv); Color: 16M RGBW; Wifi: 2.4GHz; Compatible: Alexa/Google"
Stainless Steel Water Bottle 1L,Fitness,"water bottle, stainless steel, insulated, BPA-free, hydration","Capacity: 1L; Insulation: 24h cold / 12h hot; Material: 18/8 steel; Lid: leak-proof"
